"reporting_year","pollutant_fk","station_eu_code","date","value"
2020,9,"IT0614A",2020-01-01,19.1381818181818
2020,9,"IT0614A",2020-01-02,37.4821739130435
2020,9,"IT0614A",2020-01-03,35.3665217391304
2020,9,"IT0614A",2020-01-04,35.7452173913044
2020,9,"IT0614A",2020-01-05,10.555652173913
2020,9,"IT0614A",2020-01-06,6.55739130434783
2020,9,"IT0614A",2020-01-07,28.5069565217391
2020,9,"IT0614A",2020-01-08,39.395652173913
2020,9,"IT0614A",2020-01-09,37.144347826087
2020,9,"IT0614A",2020-01-10,40.25
2020,9,"IT0614A",2020-01-11,24.0004347826087
2020,9,"IT0614A",2020-01-12,22.0873913043478
2020,9,"IT0614A",2020-01-13,11.7117391304348
2020,9,"IT0614A",2020-01-14,26.6695652173913
2020,9,"IT0614A",2020-01-15,22.2847826086957
2020,9,"IT0614A",2020-01-16,26.3060869565217
2020,9,"IT0614A",2020-01-17,40.9715
2020,9,"IT0614A",2020-01-18,18.9330434782609
2020,9,"IT0614A",2020-01-19,16.4369565217391
2020,9,"IT0614A",2020-01-20,10.8995652173913
2020,9,"IT0614A",2020-01-21,5.88869565217391
2020,9,"IT0614A",2020-01-22,16.5173913043478
2020,9,"IT0614A",2020-01-23,34.3560869565217
2020,9,"IT0614A",2020-01-24,41.6573913043478
2020,9,"IT0614A",2020-01-25,23.6978260869565
2020,9,"IT0614A",2020-01-26,10.8354166666667
2020,9,"IT0614A",2020-01-27,29.0391304347826
2020,9,"IT0614A",2020-01-28,33.7852173913043
2020,9,"IT0614A",2020-01-29,7.25260869565217
2020,9,"IT0614A",2020-01-30,18.2139130434783
2020,9,"IT0614A",2020-01-31,33.7513043478261
2020,9,"IT0614A",2020-02-01,26.7965217391304
2020,9,"IT0614A",2020-02-02,12.5133333333333
2020,9,"IT0614A",2020-02-03,36.12
2020,9,"IT0614A",2020-02-04,26.2217391304348
2020,9,"IT0614A",2020-02-05,3.40782608695652
2020,9,"IT0614A",2020-02-06,5.48727272727273
2020,9,"IT0614A",2020-02-07,50.87
2020,9,"IT0614A",2020-02-08,24.0269565217391
2020,9,"IT0614A",2020-02-09,19.4713043478261
2020,9,"IT0614A",2020-02-10,18.765652173913
2020,9,"IT0614A",2020-02-11,33.6142857142857
2020,9,"IT0614A",2020-02-12,19.5845454545455
2020,9,"IT0614A",2020-02-13,28.365652173913
2020,9,"IT0614A",2020-02-14,9.58272727272727
2020,9,"IT0614A",2020-02-15,12.67
2020,9,"IT0614A",2020-02-16,13.3204347826087
2020,9,"IT0614A",2020-02-17,21.6447368421053
2020,9,"IT0614A",2020-02-18,27.6891304347826
2020,9,"IT0614A",2020-02-19,20.9513043478261
2020,9,"IT0614A",2020-02-20,16.9830434782609
2020,9,"IT0614A",2020-02-21,17.5634782608696
2020,9,"IT0614A",2020-02-22,15.3708695652174
2020,9,"IT0614A",2020-02-23,16.0417391304348
2020,9,"IT0614A",2020-02-24,24.9739130434783
2020,9,"IT0614A",2020-02-25,31.68
2020,9,"IT0614A",2020-02-26,24.995652173913
2020,9,"IT0614A",2020-02-27,9.18521739130435
2020,9,"IT0614A",2020-02-28,7.50608695652174
2020,9,"IT0614A",2020-02-29,9.74956521739131
2020,9,"IT0614A",2020-03-01,13.1530434782609
2020,9,"IT0614A",2020-03-02,24.9642857142857
2020,9,"IT0614A",2020-03-03,11.6452173913043
2020,9,"IT0614A",2020-03-04,12.2686363636364
2020,9,"IT0614A",2020-03-05,11.9208695652174
2020,9,"IT0614A",2020-03-06,18.3065217391304
2020,9,"IT0614A",2020-03-07,7.92565217391304
2020,9,"IT0614A",2020-03-08,2.12652173913043
2020,9,"IT0614A",2020-03-09,11.4239130434783
2020,9,"IT0614A",2020-03-10,10.7460869565217
2020,9,"IT0614A",2020-03-11,14.9717391304348
2020,9,"IT0614A",2020-03-12,16.9786956521739
2020,9,"IT0614A",2020-03-13,20.26
2020,9,"IT0614A",2020-03-14,16.3913043478261
2020,9,"IT0614A",2020-03-15,6.0404347826087
2020,9,"IT0614A",2020-03-16,2.68739130434783
2020,9,"IT0614A",2020-03-17,3.91695652173913
2020,9,"IT0614A",2020-03-18,10.3569565217391
2020,9,"IT0614A",2020-03-19,15.5165217391304
2020,9,"IT0614A",2020-03-20,9.88304347826087
2020,9,"IT0614A",2020-03-21,5.09826086956522
2020,9,"IT0614A",2020-03-22,1.78173913043478
2020,9,"IT0614A",2020-03-23,6.98304347826087
2020,9,"IT0614A",2020-03-24,4.25
2020,9,"IT0614A",2020-03-25,1.7575
2020,9,"IT0614A",2020-03-26,5.55076923076923
2020,9,"IT0614A",2020-03-27,11.795652173913
2020,9,"IT0614A",2020-03-28,7.63826086956522
2020,9,"IT0614A",2020-03-29,5.34304347826087
2020,9,"IT0614A",2020-03-30,7.62391304347826
2020,9,"IT0614A",2020-03-31,10.5860869565217
2020,9,"IT0614A",2020-04-01,9.75043478260869
2020,9,"IT0614A",2020-04-02,4.52391304347826
2020,9,"IT0614A",2020-04-03,2.56782608695652
2020,9,"IT0614A",2020-04-04,3.34304347826087
2020,9,"IT0614A",2020-04-05,3.52695652173913
2020,9,"IT0614A",2020-04-06,8.79434782608696
2020,9,"IT0614A",2020-04-07,10.214347826087
2020,9,"IT0614A",2020-04-08,7.48739130434783
2020,9,"IT0614A",2020-04-09,16.5247826086957
2020,9,"IT0614A",2020-04-10,13.7269565217391
2020,9,"IT0614A",2020-04-11,10.8286956521739
2020,9,"IT0614A",2020-04-12,5.42409090909091
2020,9,"IT0614A",2020-04-13,5.25
2020,9,"IT0614A",2020-04-14,11.8186956521739
2020,9,"IT0614A",2020-04-15,7.13434782608696
2020,9,"IT0614A",2020-04-16,6.3804347826087
2020,9,"IT0614A",2020-04-17,14.1695652173913
2020,9,"IT0614A",2020-04-18,10.2208695652174
2020,9,"IT0614A",2020-04-19,8.16260869565217
2020,9,"IT0614A",2020-04-20,4.63608695652174
